index	label	sentence	POS	numOfMetaphor
a1f-fragment10 179	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1	Given the already appalling and growing rate of homelessness and lack of hostel facilities in London, when more people than ever will not only have to endure the freezing nights of the coming winter on the streets, but perhaps permanent homelessness, it was terrible to see the situation being exploited for a joke by your advertisement: Just the thing now the evenings are drawing in.	VERB DET ADV ADJ CCONJ VERB NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN ADP PROPN ADV ADJ NOUN ADP ADV VERB ADV ADV VERB PART VERB DET VERB NOUN ADP DET VERB NOUN ADP DET NOUN CCONJ ADV ADJ NOUN PRON VERB ADJ PART VERB DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADV DET NOUN ADV DET NOUN VERB VERB ADV	5
fpb-fragment01 1207	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	Elinor was sometimes at a loss for the right word, or name, and then became impatient with herself; she was often frustrated because she couldn't move as swiftly as she did before.	NOUN VERB ADV ADP DET NOUN ADP DET ADJ NOUN CCONJ NOUN CCONJ ADV VERB ADJ ADP PRON PRON VERB ADV ADJ ADP PRON VERB VERB ADV ADV ADP PRON VERB ADV	4
b1g-fragment02 1091	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Fortunately, technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades.	ADV ADJ NOUN VERB VERB ADP DET NOUN ADP VERB NOUN ADP NOUN NOUN VERB VERB VERB ADP ADP DET NOUN ADP NOUN DET NUM NOUN ADP DET ADJ NUM NOUN	0
g0l-fragment01 377	0 0	He laughed.	PRON VERB	0
kbw-fragment17 6281	0 0 0 1 0 0 0 1 0 0 1 0 0 0	and it does mean that they can relax you know about work and everything	CCONJ PRON VERB VERB ADP PRON VERB VERB PRON VERB ADP NOUN CCONJ NOUN	3
kb7-fragment10 2253	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0	You know I mean other than that, no I mean it it's not as if	PRON VERB PRON VERB ADJ ADP DET INTJ PRON VERB PRON PRON ADV ADP ADP	1
fpb-fragment01 1371	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	She was in hospital for six weeks, and I was the only one who knew it wasn't an accident.	PRON VERB ADP NOUN ADP NUM NOUN CCONJ PRON VERB DET ADJ NUM NOUN VERB PRON VERB DET NOUN	0
clp-fragment01 745	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course.	NOUN NOUN VERB ADV CCONJ VERB ADV VERB VERB ADP DET NOUN ADP ADJ NOUN ADJ DET VERB NOUN VERB VERB ADP DET ADJ NOUN NOUN	7
a7y-fragment03 203	0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied.	PRON VERB ADV ADJ ADP VERB DET ADP DET NOUN ADP ADJ NOUN DET ADJ NOUN VERB VERB VERB ADP NUM ADP ADJ NOUN ADP ADV VERB VERB DET NOUN ADP DET NOUN PART VERB DET NOUN ADP DET NOUN PART VERB DET NOUN ADP DET NOUN VERB	6
g0l-fragment01 218	0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0	They didn't want the Yanks stumbling in and screwing up in an attempt to force the issue.	PRON VERB VERB DET PROPN VERB ADP CCONJ VERB PART ADP DET NOUN PART VERB DET NOUN	6
kcf-fragment14 1434	0 0 0 0 0 1 0 0 0 0	And don't forget we're going down the fracture clinic Alison!	CCONJ VERB VERB PRON VERB ADP DET ADJ NOUN PROPN	1
cb5-fragment02 3261	0 0 0 0 0 0 0 0	I'm afraid it's true, Mrs Carson told them.	PRON ADJ PRON ADJ PROPN PROPN VERB PRON	0
kbw-fragment04 2695	0 0 0 0 0 0 0 0	You're going to watch Rosie and Jim dear.	PRON VERB PART VERB PROPN CCONJ PROPN NOUN	0
kbh-fragment02 236	0 0 0 0 1 0 0 0 0 0 0 0	Charlotte please don't talk with your mouth full, there's a good girl.	PROPN INTJ VERB VERB ADP ADJ NOUN ADJ ADV DET ADJ NOUN	1
kbw-fragment42 14920	0 0 0 0 0 0 0 0 0 0 0	When we've had half a whole, I'm thinking half a whole	ADV PRON VERB ADJ DET NOUN PRON VERB ADJ DET NOUN	0
ea7-fragment03 846	0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0	He became Robert of Jerusalem to his contemporaries; his deeds were recorded in the Song of Antioch; his pious bravery totally expunged the memory of Robert the Frisian's usurpation; and after his death his son Baldwin VII harped on his father's achievement to justify his substantial use of coercion against the enemies of the church.	PRON VERB PROPN ADP PROPN ADP ADJ NOUN ADJ NOUN VERB VERB ADP DET PROPN ADP PROPN ADJ ADJ NOUN ADV VERB DET NOUN ADP PROPN DET PROPN NOUN CCONJ ADP ADJ NOUN ADJ NOUN PROPN PROPN VERB ADP ADJ NOUN NOUN PART VERB ADJ ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN	7
ab9-fragment03 986	0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	You are letting this disappointment and that's all it is, you're still a very well-off young woman get in the way of everything.	PRON VERB VERB DET NOUN CCONJ DET DET PRON VERB PRON ADV DET ADV PART ADJ NOUN VERB ADP DET NOUN ADP NOUN	6
fet-fragment01 79	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0	Under his arm he carried a folded newspaper with that day's headline: PEACE MOTHER DIES.	ADP ADJ NOUN PRON VERB DET VERB NOUN ADP DET NOUN NOUN PROPN PROPN VERB	2
kcv-fragment42 4497	0 0 0 0 0 0	Eating eating all day long overlap	VERB VERB DET NOUN ADJ NOUN	0
fpb-fragment01 1101	0 0 0 0 1 0 0 0 1 0 0 0	You never want to make a man the centre of your existence.	PRON ADV VERB PART VERB DET NOUN DET NOUN ADP ADJ NOUN	2
b1g-fragment02 1157	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	In these circumstances, it is scarcely surprising that there is evidence of international and interdisciplinary dispute, as Terney( 1989) has chronicled in regard to IGBP.	ADP DET NOUN PRON VERB ADV ADJ ADP ADV VERB NOUN ADP ADJ CCONJ ADJ NOUN ADP PROPN NUM VERB VERB ADP NOUN ADP NOUN	0
clp-fragment01 762	1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0	Those not involved find it difficult to gain very much from a presentation of a task description.	DET ADV VERB VERB PRON ADJ PART VERB ADV ADV ADP DET NOUN ADP DET NOUN NOUN	4
kb7-fragment10 2148	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	I mean I did have some of the boxes in there until I sort of, thought while I was sorting things out.	PRON VERB PRON VERB VERB DET ADP DET NOUN ADP ADV ADP PRON ADV ADV VERB ADP PRON VERB VERB NOUN PART	2
ac2-fragment06 1507	0 0 0 0 0 0 1	But I can understand how you feel.	CCONJ PRON VERB VERB ADV PRON VERB	1
c8t-fragment01 40	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	It was, he judged, almost twenty feet long and obviously served the triple purpose of sitting room, working place and office.	PRON VERB PRON VERB ADV NUM NOUN ADJ CCONJ ADV VERB DET ADJ NOUN ADP VERB NOUN VERB NOUN CCONJ NOUN	1
c8t-fragment01 48	0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	Was it the faint smell of herbs and newly baked dough, the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall, the rhythmic moaning of the sea through the half-open door, the sense of well-fed ease conveyed by the two cushioned armchairs, the open hearth?	VERB PRON DET ADJ NOUN ADP NOUN CCONJ ADV VERB NOUN DET ADJ NOUN ADP DET VERB NOUN ADJ VERB DET PART VERB DET VERB NOUN CCONJ ADV PART VERB NOUN ADP NOUN DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN DET NOUN ADP VERB NOUN VERB ADP DET NUM VERB NOUN DET ADJ NOUN	10
a1n-fragment18 345	0 0 0 0 0 1 0 0 0 1 0 0 1	Had either of the teams won, they would have taken the League leadership.	VERB DET ADP DET NOUN VERB PRON VERB VERB VERB DET PROPN NOUN	3
a7s-fragment03 67	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	He described being taken over the years to see his sick, and finally dying and almost certainly innocent father in another prison.	PRON VERB VERB VERB ADP DET NOUN PART VERB ADJ ADJ CCONJ ADV VERB CCONJ ADV ADV ADJ NOUN ADP DET NOUN	1
kbw-fragment42 15064	0	daddy	NOUN	0
cb5-fragment02 3198	0 0 0 0 0 0 0 0 0 0 0 0	She sat down and prepared to wait as long as was necessary.	PRON VERB PART CCONJ VERB PART VERB ADV ADV ADP VERB ADJ	0
ahc-fragment60 1246	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0	A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the folds of the moors.	DET NOUN ADP DET NOUN VERB DET NOUN VERB ADJ ADJ NOUN CCONJ VERB ADV PART VERB DET NOUN NOUN ADP ADJ NOUN NUM NOUN ADP DET ADJ NOUN NOUN VERB ADV ADP DET NOUN ADP DET NOUN	5
amm-fragment02 1642	0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	It turns out that our animal was able to see in almost every direction upwards, downwards, sideways and forwards, and even backwards, because the eyes bulged out beyond the line of the rest of the body.	PRON VERB PART ADP ADJ NOUN VERB ADJ PART VERB ADP ADV DET NOUN ADV ADV ADV CCONJ ADV CCONJ ADV ADV ADP DET NOUN VERB PART ADP DET NOUN ADP DET NOUN ADP DET NOUN	6
a1h-fragment05 75	0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0	Like many young American composers he studied with Nadia Boulanger, but after 1925 set out to achieve the discipline of spontaneity which he found in Stein's writings.	ADP ADJ ADJ ADJ NOUN PRON VERB ADP PROPN PROPN CCONJ ADP NUM VERB PART PART VERB DET NOUN ADP NOUN ADJ PRON VERB ADP PROPN NOUN	7
fpb-fragment01 1086	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1	As Gilda held out her glass to be refilled, she added reflectively, Although you seem more lonely than horny.	ADP PROPN VERB PART ADJ NOUN PART VERB VERB PRON VERB ADV ADP PRON VERB ADV ADJ ADP NOUN	3
b1g-fragment02 1093	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Moreover, the advent of low-cost, high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power: a CD-ROM, for instance, can hold about 600 megabytes( i.e. 10&sup6; bytes), can be reproduced currently for about ̴�1 and read on a device costing about ̴�400.	ADV DET NOUN ADP NOUN NOUN NOUN ADP NOUN VERB ADV VERB ADJ NOUN NOUN ADJ ADV ADP DET ADP ADJ NOUN NOUN DET NOUN ADP NOUN VERB VERB ADV NUM NOUN X NUM NOUN VERB VERB VERB ADV ADP ADP NOUN CCONJ VERB ADP DET NOUN VERB ADP ADV	0
ahb-fragment51 752	0 0 0 0 0 0 0 0 0 0 1 0 0	We want everyone to be licensed, but the Government didn't think it necessary.	PRON VERB NOUN PART VERB VERB CCONJ DET PROPN VERB VERB PRON ADJ	1
kbw-fragment42 14782	0 0 0 0	It doesn't matter what?	PRON VERB VERB NOUN	0
a1g-fragment26 389	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany.	NOUN ADJ ADJ ADJ NOUN VERB ADP DET ADJ ADJ NOUN NOUN VERB NOUN CCONJ NOUN ADP DET PROPN VERB DET NOUN VERB ADP ADV DET ADJ NOUN DET NOUN ADJ VERB ADJ ADP NUM ADP ADJ NOUN ADP PROPN PROPN	3
ac2-fragment06 1424	0 0 0 0 1 1 0 0 0 0	He doesn't know the inside track any more than Klepner.	PRON VERB VERB DET ADJ NOUN DET ADJ ADP PROPN	2
a4d-fragment02 111	0 0 0 0 0 1 0 0 0 1 0 1 0 0 0	However, Caithness himself stated that this first selection was in no way a definitive list	ADV PROPN PRON VERB ADP DET ADJ NOUN VERB ADP DET NOUN DET ADJ NOUN	3
kbp-fragment09 3773	0 0 1 0 1 0 0 0 0 0 0 0	You could feel the atmosphere when you were sat in the car.	PRON VERB VERB DET NOUN ADV PRON VERB VERB ADP DET NOUN	2
kbh-fragment02 274	0 0 0 0 0 0 0 0 0 0	Catch it, one two three catch it, one two three.	VERB PRON NUM NUM NUM NOUN PRON NUM NUM NUM	0
kbp-fragment09 3901	0 0	I thought	PRON VERB	0
c8t-fragment01 42	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	In the centre of the room was a large wooden table holding a stoneware jar of dried flowers.	ADP DET NOUN ADP DET NOUN VERB DET ADJ ADJ NOUN VERB DET NOUN NOUN ADP VERB NOUN	1
bpa-fragment14 2179	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	Nell would never rest until she could get closer to confirm her worst suspicions, and paradoxically it was the woman in her that provided the intensity of emotion that would let nothing stand in her way.	PROPN VERB ADV VERB ADP PRON VERB VERB ADJ PART VERB ADJ ADJ NOUN CCONJ ADV PRON VERB DET NOUN ADP PRON ADJ VERB DET NOUN ADP NOUN ADJ VERB VERB NOUN VERB ADP ADJ NOUN	4
kbw-fragment04 2632	0 0 0 0 0 0 0 0	It's just that I can actually hear it.	PRON ADV ADP PRON VERB ADV VERB PRON	0
a8n-fragment19 320	0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0	Oldham took up the attack again and Barlow, who had a fine match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.	PROPN VERB PART DET NOUN ADV CCONJ PROPN NOUN VERB DET ADJ NOUN ADP NOUN ADV VERB PROPN VERB ADP DET ADJ NOUN ADP PROPN	9
ac2-fragment06 1394	0 0 0 0 0 0 1 0 0 0 0 0	Notwithstanding current problems which they discussed lightly, it had all been wonderful.	ADP ADJ NOUN ADJ PRON VERB ADV PRON VERB DET VERB ADJ	1
ahb-fragment51 705	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Property: Don't let yourself in for trouble Choosing the right agent is essential if you want to rent your property.	NOUN VERB VERB PRON PART ADP NOUN VERB DET ADJ NOUN VERB ADJ ADP PRON VERB PART VERB ADJ NOUN	3
b1g-fragment02 1532	0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	First, attention should be drawn to the new directive from the Department of Health to regional and district health authorities to review the health of the population.	ADV NOUN VERB VERB VERB ADP DET ADJ NOUN ADP DET PROPN ADP PROPN ADP ADJ CCONJ NOUN NOUN NOUN PART VERB DET NOUN ADP DET NOUN	4
as6-fragment02 387	0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0	But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational, uncivilized, and criminal instincts.	CCONJ DET NOUN ADP VERB ADJ NOUN VERB ADP DET NOUN ADP DET ADJ ADJ NOUN ADP PRON VERB DET NOUN ADP DET NOUN ADP VERB ADP ADJ ADJ CCONJ ADJ NOUN	7
kbw-fragment11 4197	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	And she said he has to go trotting to Exeter two or three times a week now.	CCONJ PRON VERB PRON VERB PART VERB VERB ADP PROPN NUM CCONJ NUM NOUN DET NOUN ADV	1
ccw-fragment03 1671	0 0 0 0 0 0 0 0 0 0 0 0 0	He glanced at the paint pot and brush that I was still holding.	PRON VERB ADP DET NOUN NOUN CCONJ NOUN ADJ PRON VERB ADV VERB	0
b1g-fragment02 1061	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	No other data collection methodology obviates the short distance variation in data sets induced by variations in data collection and aggregation methodology typically encountered between adjacent nation states.	DET ADJ NOUN NOUN NOUN VERB DET ADJ NOUN NOUN ADP NOUN NOUN VERB ADP NOUN ADP NOUN NOUN CCONJ NOUN NOUN ADV VERB ADP ADJ NOUN NOUN	0
b1g-fragment02 1018	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	The unavoidable reliance upon existing data sets led to many problems due to non-harmonization even of commonly used variables, e.g. eight different definitions of potential evapo-transpiration were in use in the Member States and maximum temperature at each weather station was defined in at least four different ways;	DET ADJ NOUN ADP VERB NOUN NOUN VERB ADP ADJ NOUN ADJ ADP NOUN ADV ADP ADV VERB NOUN ADV NUM ADJ NOUN ADP ADJ NOUN VERB ADP NOUN ADP DET PROPN PROPN CCONJ ADJ NOUN ADP DET NOUN NOUN VERB VERB ADP ADV ADV NUM ADJ NOUN	0
ahf-fragment24 586	0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0	Meadowell has even discovered a new martyr in the shape of one Willy Hunter, a local hard nut awaiting trial for murder, and allegedly the victim of a police frame-up.	PROPN VERB ADV VERB DET ADJ NOUN ADP DET NOUN ADP NUM PROPN PROPN DET ADJ ADJ NOUN VERB NOUN ADP NOUN CCONJ ADV DET NOUN ADP DET NOUN NOUN	5
kbd-fragment07 2293	0 0 0 0	Oh I need some	INTJ PRON VERB DET	0
kbw-fragment04 2468	0 0 1 1 1 0 0	Why they keep on making new bulbs?	ADV PRON VERB PART VERB ADJ NOUN	3
kbh-fragment02 159	0 0 0 0 0	What else do I need?	NOUN ADV VERB PRON VERB	0
kbw-fragment11 4112	0 0 0 0 0 0 0 0 0 0 0	I've told you what we're gon na for Christopher haven't I?	PRON VERB PRON NOUN PRON VERB ADP ADP PROPN VERB PRON	0
kbc-fragment13 5876	0 0 0 0 1 0 0 0 0 1 0 0 0	Well well he hasn't got a father so he regards you doesn't he?	INTJ INTJ PRON VERB VERB DET NOUN ADP PRON VERB PRON VERB PRON	2
ab9-fragment03 1014	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Francis Morgan stood and stared at them, and even before the man stepped forward steadily, hand extended, mouth opening to speak, he understood who they were and what they had come to tell him.	PROPN PROPN VERB CCONJ VERB ADP PRON CCONJ ADV ADP DET NOUN VERB ADV ADV NOUN VERB NOUN NOUN PART VERB PRON VERB NOUN PRON VERB CCONJ NOUN PRON VERB VERB PART VERB PRON	2
fpb-fragment01 1215	0 0 0	The doorbell sounded.	DET NOUN VERB	0
kbp-fragment09 3673	0 0 0 0 0	I thought it would be	PRON VERB PRON VERB VERB	0
ac2-fragment06 1469	0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0	The only thing you can be sure of is that US interest will always come first.	DET ADJ NOUN PRON VERB VERB ADJ ADP VERB ADP PROPN NOUN VERB ADV VERB ADV	2
alp-fragment01 94	0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0	Probably the best illustration of the assisting method in action during the course comes in the fifth session when Somerset practitioners take the logic of working with the problem in the community to its ultimate conclusion.	ADV DET ADJ NOUN ADP DET VERB NOUN ADP NOUN ADP DET NOUN VERB ADP DET ADJ NOUN ADV PROPN NOUN VERB DET NOUN ADP VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN	9
ab9-fragment03 1013	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	The man, a stocky, greying fifty-year-old in a navy raincoat over a suit, his hair cut short, was attended by a uniformed policewoman, hair smartly set under the cap, her eyes watchful in the wide, flat, placid face, and both of them were standing square and stolid.	DET NOUN DET ADJ VERB PUNCT ADP DET NOUN NOUN ADP DET NOUN ADJ NOUN VERB ADJ VERB VERB ADP DET ADJ NOUN NOUN ADV VERB ADP DET NOUN ADJ NOUN ADJ ADP DET ADJ ADJ ADJ NOUN CCONJ DET ADP PRON VERB VERB ADJ CCONJ ADJ	4
g0l-fragment01 48	0 0 0 0 0 0 0 0 0	Sorge looked round the table, saw their undisguised curiosity.	NOUN VERB ADP DET NOUN VERB ADJ ADJ NOUN	0
ea7-fragment03 836	0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles.	PRON VERB NOUN ADP NOUN ADP NOUN PART VERB ADJ NOUN ADP DET NOUN NOUN ADP NOUN VERB DET NOUN ADP PROPN PROPN ADP PROPN ADP ADJ NOUN CCONJ PRON ADV VERB NOUN ADP DET ADJ PROPN PROPN PROPN CCONJ PROPN ADP PROPN VERB ADP PROPN ADP ADJ ADJ NOUN ADP DET NOUN NOUN	11
